,year,city,country,avg_temp,moving_average
8547,1832,Belo Horizonte,Brazil,20.31,
8548,1833,Belo Horizonte,Brazil,21.29,
8549,1834,Belo Horizonte,Brazil,20.58,
8550,1835,Belo Horizonte,Brazil,19.99,
8551,1836,Belo Horizonte,Brazil,20.21,
8552,1837,Belo Horizonte,Brazil,19.65,
8553,1838,Belo Horizonte,Brazil,20.09,
8554,1839,Belo Horizonte,Brazil,19.89,
8555,1840,Belo Horizonte,Brazil,20.57,
8556,1841,Belo Horizonte,Brazil,20.26,20.284
8557,1842,Belo Horizonte,Brazil,20.69,20.321999999999996
8558,1843,Belo Horizonte,Brazil,20.83,20.275999999999996
8566,1851,Belo Horizonte,Brazil,20.8,20.297999999999995
8567,1852,Belo Horizonte,Brazil,20.96,20.394999999999996
8568,1853,Belo Horizonte,Brazil,20.98,20.471999999999994
8569,1854,Belo Horizonte,Brazil,21.06,20.612999999999992
8570,1855,Belo Horizonte,Brazil,21.1,20.71399999999999
8571,1856,Belo Horizonte,Brazil,20.14,20.738999999999994
8572,1857,Belo Horizonte,Brazil,20.62,20.743999999999993
8573,1858,Belo Horizonte,Brazil,19.79,20.696999999999996
8574,1859,Belo Horizonte,Brazil,20.43,20.670999999999996
8575,1860,Belo Horizonte,Brazil,21.13,20.700999999999993
8576,1861,Belo Horizonte,Brazil,20.34,20.654999999999994
8577,1862,Belo Horizonte,Brazil,20.3,20.58899999999999
8578,1863,Belo Horizonte,Brazil,20.33,20.523999999999994
8579,1864,Belo Horizonte,Brazil,20.33,20.450999999999993
8580,1865,Belo Horizonte,Brazil,20.24,20.364999999999995
8581,1866,Belo Horizonte,Brazil,20.44,20.394999999999992
8582,1867,Belo Horizonte,Brazil,20.61,20.393999999999995
8583,1868,Belo Horizonte,Brazil,21.46,20.560999999999996
8584,1869,Belo Horizonte,Brazil,21.4,20.657999999999994
8585,1870,Belo Horizonte,Brazil,21.38,20.682999999999996
8586,1871,Belo Horizonte,Brazil,21.07,20.755999999999993
8587,1872,Belo Horizonte,Brazil,21.0,20.825999999999993
8588,1873,Belo Horizonte,Brazil,21.22,20.914999999999992
8589,1874,Belo Horizonte,Brazil,20.58,20.93999999999999
8590,1875,Belo Horizonte,Brazil,20.14,20.92999999999999
8591,1876,Belo Horizonte,Brazil,20.39,20.92499999999999
8592,1877,Belo Horizonte,Brazil,21.13,20.976999999999986
8593,1878,Belo Horizonte,Brazil,21.55,20.985999999999986
8594,1879,Belo Horizonte,Brazil,20.2,20.865999999999985
8595,1880,Belo Horizonte,Brazil,21.18,20.845999999999986
8596,1881,Belo Horizonte,Brazil,20.61,20.79999999999999
8597,1882,Belo Horizonte,Brazil,20.05,20.70499999999999
8598,1883,Belo Horizonte,Brazil,20.29,20.611999999999988
8599,1884,Belo Horizonte,Brazil,20.17,20.57099999999999
8600,1885,Belo Horizonte,Brazil,21.05,20.661999999999995
8601,1886,Belo Horizonte,Brazil,20.31,20.653999999999996
8602,1887,Belo Horizonte,Brazil,20.8,20.621
8603,1888,Belo Horizonte,Brazil,21.17,20.583
8604,1889,Belo Horizonte,Brazil,21.4,20.703
8605,1890,Belo Horizonte,Brazil,20.63,20.648
8606,1891,Belo Horizonte,Brazil,20.83,20.669999999999998
8607,1892,Belo Horizonte,Brazil,20.62,20.726999999999997
8608,1893,Belo Horizonte,Brazil,20.01,20.698999999999998
8609,1894,Belo Horizonte,Brazil,20.89,20.770999999999997
8610,1895,Belo Horizonte,Brazil,20.67,20.732999999999997
8611,1896,Belo Horizonte,Brazil,20.7,20.772
8612,1897,Belo Horizonte,Brazil,20.65,20.756999999999998
8613,1898,Belo Horizonte,Brazil,20.9,20.729999999999997
8614,1899,Belo Horizonte,Brazil,21.17,20.706999999999997
8615,1900,Belo Horizonte,Brazil,20.94,20.737999999999996
8616,1901,Belo Horizonte,Brazil,20.74,20.728999999999996
8617,1902,Belo Horizonte,Brazil,21.24,20.790999999999997
8618,1903,Belo Horizonte,Brazil,21.0,20.889999999999997
8619,1904,Belo Horizonte,Brazil,20.03,20.803999999999995
8620,1905,Belo Horizonte,Brazil,21.29,20.865999999999996
8621,1906,Belo Horizonte,Brazil,20.93,20.889
8622,1907,Belo Horizonte,Brazil,20.63,20.886999999999997
8623,1908,Belo Horizonte,Brazil,20.95,20.891999999999996
8624,1909,Belo Horizonte,Brazil,20.56,20.830999999999996
8625,1910,Belo Horizonte,Brazil,20.81,20.817999999999994
8626,1911,Belo Horizonte,Brazil,20.7,20.813999999999993
8627,1912,Belo Horizonte,Brazil,20.73,20.76299999999999
8628,1913,Belo Horizonte,Brazil,21.04,20.76699999999999
8629,1914,Belo Horizonte,Brazil,21.46,20.90999999999999
8630,1915,Belo Horizonte,Brazil,21.46,20.926999999999992
8631,1916,Belo Horizonte,Brazil,20.83,20.91699999999999
8632,1917,Belo Horizonte,Brazil,20.02,20.85599999999999
8633,1918,Belo Horizonte,Brazil,20.52,20.812999999999995
8634,1919,Belo Horizonte,Brazil,20.91,20.847999999999992
8635,1920,Belo Horizonte,Brazil,20.79,20.845999999999993
8636,1921,Belo Horizonte,Brazil,20.65,20.840999999999994
8637,1922,Belo Horizonte,Brazil,21.15,20.882999999999996
8638,1923,Belo Horizonte,Brazil,20.79,20.857999999999997
8639,1924,Belo Horizonte,Brazil,20.7,20.781999999999993
8640,1925,Belo Horizonte,Brazil,20.77,20.712999999999994
8641,1926,Belo Horizonte,Brazil,21.05,20.734999999999996
8642,1927,Belo Horizonte,Brazil,21.13,20.845999999999997
8643,1928,Belo Horizonte,Brazil,21.43,20.936999999999994
8644,1929,Belo Horizonte,Brazil,21.12,20.957999999999995
8645,1930,Belo Horizonte,Brazil,21.27,21.005999999999997
8646,1931,Belo Horizonte,Brazil,20.99,21.04
8647,1932,Belo Horizonte,Brazil,21.54,21.078999999999997
8648,1933,Belo Horizonte,Brazil,20.48,21.047999999999995
8649,1934,Belo Horizonte,Brazil,21.11,21.089
8650,1935,Belo Horizonte,Brazil,21.27,21.139
8651,1936,Belo Horizonte,Brazil,21.37,21.171
8652,1937,Belo Horizonte,Brazil,21.04,21.162
